Name,Type,Primary_fuel,Secondary_fuel,Prime_mover_1,Prime_mover_2,Cogeneration,Capacity_MW,Largest_unit_MW,Primary_efficiency,Generating_units_number,Generating_units_notes,Year_built,Status,Cooling_type,Cooling_source,Group_name,Group_order,Owner_1,Owner_2,Operator,Connection_type,Avg_Ann_Gen_GWh,Hydro_max_storage_m3,Basin,Regional_auth,Region_name,Island_name,Node_name,GIP substation,Lifetime,Lifetime_notes,lat,long,Node,Techs
Tekapo B,Hydroelectric,Water,,hydrokinetic turbine,,N,160,80,1.282,2,2 x 80 MW,1977,Operational,,,Waitaki Hydro Scheme,2,Genesis,,Genesis,Grid,800,0,Waitaki,ECan,SCN - South Canterbury,SI,TKB2201,TKB,2025,consent expiry,-44.1238,170.2122,CAN,
Whakamaru,Hydroelectric,Water,,hydrokinetic turbine,,N,124,31,0.315,4,,1956,Operational,,,Waikato Hydro Scheme,4,Mercury,,Mercury,Grid,494,11,Waikato,Waikato,WTO - Waikato,NI,WKM2201,WKM,2041,consent expiry,-38.4196,175.8087,WTO,
Rangipo,Hydroelectric,Water,,hydrokinetic turbine,,N,120,60,,2,2 x 60 MW,1983,Operational,,,Tongariro Power Development,2,Genesis,,Genesis,Grid,580,0,Tongariro,Waikato,CEN - Central,NI,RPO2201,RPO,2039,consent expiry,-39.1533,175.8376,CEN,
Ohakuri,Hydroelectric,Water,,hydrokinetic turbine,,N,106,28,0.278,4,,1961,Operational,,,Waikato Hydro Scheme,2,Mercury,,Mercury,Grid,400,14,Waikato,Waikato,WTO - Waikato,NI,OHK2201,WKM,2041,consent expiry,-38.4079,176.0888,WTO,
Waitaki,Hydroelectric,Water,,hydrokinetic turbine,,N,105,15,0.162,7,7 x 15 MW,1936,Operational,,,Waitaki Hydro Scheme,8,Meridian Energy,,Meridian Energy,Grid,500,12,Waitaki,ECan,OTG - Otago/Southland,SI,WTK0111,WTK,2025,consent expiry,-44.6891,170.4265,OTG,
Karapiro,Hydroelectric,Water,,hydrokinetic turbine,,N,96,32,0.265,3,3 x 32 MW,1947,Operational,,,Waikato Hydro Scheme,8,Mercury,,Mercury,Grid,525,14,Waikato,Waikato,WTO - Waikato,NI,KPO1101,KPO,2041,consent expiry,-37.9236,175.5394,WTO,
Matahina,Hydroelectric,Water,,hydrokinetic turbine,,N,80,40,,2,,1967,Operational,,,,,Trustpower,,Trustpower,Grid,280,7,Rangataiki,Bay of Plenty,BOP - Bay of Plenty,NI,MAT1101,MAT,2048,consent expiry,-38.1141,176.8162,BOP,
Aratiatia,Hydroelectric,Water,,hydrokinetic turbine,,N,78,31,0.268,3,,1964,Operational,,,Waikato Hydro Scheme,1,Mercury,,Mercury,Grid,330,0,Waikato,Waikato,WTO - Waikato,NI,ARA2201,WRK,2041,consent expiry,-38.6161,176.1422,WTO,
Atiamuri,Hydroelectric,Water,,hydrokinetic turbine,,N,74,21,0.204,4,,1957,Operational,,,Waikato Hydro Scheme,3,Mercury,,Mercury,Grid,289,0,Waikato,Waikato,BOP - Bay of Plenty,NI,ATI2201,WKM,2041,consent expiry,-38.3919,176.0223,BOP,
Tuai,Hydroelectric,Water,,hydrokinetic turbine,,N,60,20,1.587,3,3 x 20 MW,1929,Operational,,,Waikaremoana Hydro Scheme,2,Genesis,,Genesis,Grid,218,0,Waikaremoana,Hawkes Bay,HBY - Hawkes Bay,NI,TUI1101,TUI,2032,consent expiry,-38.8068,177.1508,HBY,
Waipori 2A,Hydroelectric,Water,,hydrokinetic turbine,,N,58,20,,3,,1967,Operational,,,Waipori Hydro Scheme,2,Trustpower,,Trustpower,Combination grid/embedded,123,0,Waipori,Otago,OTG - Otago/Southland,SI,"BWK1101, HWB0331",BWK/HWB,2038,consent expiry,-45.9055,169.9868,OTG,
Waipapa,Hydroelectric,Water,,hydrokinetic turbine,,N,54,18,0.143,3,3 x 17 MW,1961,Operational,,,Waikato Hydro Scheme,6,Mercury,,Mercury,Grid,242,0,Waikato,Waikato,WTO - Waikato,NI,WPA2201,WKM,2041,consent expiry,-38.292,175.6835,WTO,
Coleridge,Hydroelectric,Water,,hydrokinetic turbine,,N,45,9.5,1.009,4,,1914,Operational,,,,,Trustpower,,Trustpower,Grid,300,138,Rakaia,ECan,CAN - Canterbury,SI,COL0661,COL,2031,consent expiry,-43.364,171.5267,CAN,
Piripaua,Hydroelectric,Water,,hydrokinetic turbine,,N,42,21,0.942,2,2 x 21 MW,1943,Operational,,,Waikaremoana Hydro Scheme,3,Genesis,,Genesis,Grid,133,0,Waikaremoana,Hawkes Bay,HBY - Hawkes Bay,NI,TUI1101,TUI,2032,consent expiry,-38.839,177.1681,HBY,
Mangahao (inc mini),Hydroelectric,Water,,hydrokinetic turbine,,N,39,26,,4,,1924,Operational,,,,,King Country Energy,,King Country Energy,Grid,136,5,Mangahao,Horizons,CEN - Central,NI,MHO0331,MHO,2027,consent expiry,-40.5767,175.4504,CEN,
Kaitawa,Hydroelectric,Water,,hydrokinetic turbine,,N,36,18,1.006,2,2 x 22 x 18 MW,1948,Operational,,,Waikaremoana Hydro Scheme,1,Genesis,,Genesis,Grid,91,0,Waikaremoana,Hawkes Bay,HBY - Hawkes Bay,NI,TUI1101,TUI,2032,consent expiry,-38.8032,177.1311,HBY,
Cobb,Hydroelectric,Water,,hydrokinetic turbine,,N,34.3,10.45,4.405,6,4 x 3.35 MW; 2 x 10.45 MW,1944,Operational,,,,,Trustpower,,Trustpower,Grid,190,24,Cobb,Tasman,NEL - Nelson/Malbourough,SI,COB0661,STK,2038,consent expiry,-41.0861,172.7325,NEL,
Patea,Hydroelectric,Water,,hydrokinetic turbine,,N,32,10,,4,,1984,Operational,,,,,Trustpower,,Trustpower,Grid,118,0,Patea,Taranaki,TRN - Taranaki,NI,HWA1101,HWA,2040,consent expiry,-39.758,174.483,TRN,
Tekapo A,Hydroelectric,Water,,hydrokinetic turbine,,N,30,30,0.232,1,1 x 30 MW,1951,Operational,,,Waitaki Hydro Scheme,1,Genesis,,Genesis,Grid,160,0,Waitaki,ECan,SCN - South Canterbury,SI,TKA0111,TKA,2025,consent expiry,-44.0138,170.4605,CAN,
Aniwhenua,Hydroelectric,Water,,hydrokinetic turbine,,N,25,12.5,0.173,2,,1982,Operational,,,,,Southern Generation,,Todd Energy,Partially embedded,105,0,Rangataiki,Bay of Plenty,BOP - Bay of Plenty,NI,MAT1101,MAT,2026,consent expiry,-38.2933,176.793,BOP,
Highbank,Hydroelectric,Water,,hydrokinetic turbine,,N,25,25,,1,,1945,Operational,,,Rangitata Diversion Race,1,Trustpower,,Trustpower,Partially embedded,94,0,Rakaia,ECan,CAN - Canterbury,SI,ASB0661,ASB,2040,consent expiry,-43.573,171.7354,CAN,
Wheao,Hydroelectric,Water,,hydrokinetic turbine,,N,24,12,,2,,1982,Operational,,,,,Trustpower,,Trustpower,Grid,115,0,Wheao,Bay of Plenty,BOP - Bay of Plenty,NI,ROT0111,ROT,2026,consent expiry,-38.633,176.578,BOP,
Ruahihi (Kaimai),Hydroelectric,Water,,hydrokinetic turbine,,N,20,10,,2,,1981,Operational,,,Kaimai Hydro Power Scheme,4,Trustpower,,Trustpower,Embedded,76,0,Wairoa river,Bay of Plenty,BOP - Bay of Plenty,NI,TGA0331,TGA,2026,consent expiry,-37.7772,176.0543,BOP,
Lloyd Mandeno (Kaimai),Hydroelectric,Water,,hydrokinetic turbine,,N,16,8,,2,,1972,Operational,,,Kaimai Hydro Power Scheme,1,Trustpower,,Trustpower,Embedded,70,0,Wairoa river,Bay of Plenty,BOP - Bay of Plenty,NI,TGA0331,TGA,2026,consent expiry,-37.8426,176.0506,BOP,
Teviot,Hydroelectric,Water,,hydrokinetic turbine,,N,10.5,6.8,,4,1 x 6.8 MW; 1 x 1.125 MW; 1 x 1.6 MW; 1 x 1 MW,1983,Operational,,,Teviot Hydro Scheme,,Pioneer Generation,,Trustpower,Partially embedded,55,0,Teviot,,OTG - Otago/Southland,SI,CYD0331,CYD,,,-45.538,169.3228,OTG,
Waipori 1A,Hydroelectric,Water,,hydrokinetic turbine,,N,10,10,,1,,1983,Operational,,,Waipori Hydro Scheme,1,Trustpower,,Trustpower,Grid,21,0,Waipori,Otago,OTG - Otago/Southland,SI,BWK1101,BWK,2038,consent expiry,-45.8815,169.978,OTG,
Paerau,Hydroelectric,Water,,hydrokinetic turbine,,N,10,5,,2,,1984,Operational,,,Paerau Gorge Power Scheme,1,Trustpower,,Trustpower,Embedded,48,0,Taieri,Otago,OTG - Otago/Southland,SI,NSY0331,NSY,2034,consent expiry,-45.3486,169.9445,OTG,
Waipori 4,Hydroelectric,Water,,hydrokinetic turbine,,N,8,8,,1,,1954,Operational,,,Waipori Hydro Scheme,4,Trustpower,,Trustpower,Grid,54,0,Waipori,Otago,OTG - Otago/Southland,SI,BWK1101,BWK,2038,consent expiry,-45.9256,170.0211,OTG,
Waipori 3,Hydroelectric,Water,,hydrokinetic turbine,,N,7.6,7.6,,1,,1952,Operational,,,Waipori Hydro Scheme,3,Trustpower,,Trustpower,Grid,16,0,Waipori,Otago,OTG - Otago/Southland,SI,BWK1101,BWK,2038,consent expiry,-45.9168,169.9922,OTG,
Opuha,Hydroelectric,Water,,hydrokinetic turbine,,N,7.5,7.5,,1,,1999,,,,,,Alpine Energy,,Contact,Partially embedded,21,,,,SCN - South Canterbury,SI,ABY0111,ABY,,,-44.0007,170.8909,CAN,
Wairau,Hydroelectric,Water,,hydrokinetic turbine,,N,7.2,7.2,,1,1 x 7.2 MW,1983,Operational,,,Branch River Power Scheme,2,Trustpower,,Trustpower,Grid,31,0,Branch River,Tasman,NEL - Nelson/Malbourough,SI,ARG1101,ARG,,,-41.6481,173.2242,NEL,
Monowai,Hydroelectric,Water,,hydrokinetic turbine,,N,6.6,2.2,,3,,1925,,,,,,Pioneer Generation,,Trustpower,Embedded,40,,,,OTG - Otago/Southland,SI,NMA0331,NMA,,,-45.7758,167.6167,OTG,
Kumara,Hydroelectric,Water,,hydrokinetic turbine,,N,6.5,6.5,,1,,1928,Operational,,,Dillmans Hydro Power Scheme,3,Trustpower,,Trustpower,Embedded,30,0,,,WEC - West Coast,SI,KUM0661,KUM,,,-42.6355,171.1951,CAN,
Amethyst,Hydroelectric,Water,,hydrokinetic turbine,,N,6,6,,1,,2013,Operational,,,,,Westpower,,Westpower,Embedded,30,0,,,WEC - West Coast,SI,ARA2201,ARA,,,-43.1589,170.6285,CAN,
Kuratau,Hydroelectric,Water,,hydrokinetic turbine,,N,6,3,,2,,1962,,,,,,King Country Energy,,King Country Energy,Embedded,30,,,,CEN - Central,NI,ONG0331,ONG,,,-38.8792,175.7356,CEN,
Lower Mangapapa (Kaimai),Hydroelectric,Water,,hydrokinetic turbine,,N,5.6,3,,2,,1979,Operational,,,Kaimai Hydro Power Scheme,2,Trustpower,,Trustpower,Embedded,17,0,Wairoa river,Bay of Plenty,BOP - Bay of Plenty,NI,TGA0331,TGA,2026,consent expiry,-37.8245,176.0402,BOP,
Deep Stream,Hydroelectric,Water,,hydrokinetic turbine,,N,5,2.5,,2,,2008,Operational,,,,,Trustpower,,Trustpower,Embedded,25,0,Deep Stream,Otago,OTG - Otago/Southland,SI,HWB0331,HWB,2038,consent expiry,-45.8036,169.9053,OTG,
Wairua Falls,Hydroelectric,Water,,hydrokinetic turbine,,N,5,3,,2,,1978,,,,,,Northpower,,Meridian Energy,Embedded,22,,,,NIS - North Isthmus,NI,ONG0331,ONG,,,-35.757,174.0674,NIS,
Wairere Falls,Hydroelectric,Water,,hydrokinetic turbine,,N,4.9,3.3,,2,,1963,,,,,,King Country Energy,,King Country Energy,Embedded,18,,,,CEN - Central,NI,BWK1101,BWK,,,-38.5315,175.0083,CEN,
Motukawa,Hydroelectric,Water,,hydrokinetic turbine,,N,4.8,1.5,,3,,1927,,,,,,Trustpower,,Trustpower,Embedded,26,,,,TRN - Taranaki,NI,HUI0331,HUI,,,-39.1837,174.3816,TRN,
Waihi Station,Hydroelectric,Water,,hydrokinetic turbine,,N,4.7,2.35,,2,,1913,,,,,,Trustpower,,Trustpower,Embedded,10.4,,,,HBY - Hawkes Bay,NI,WRA0111,WRA,,,-38.9298,177.1604,HBY,
Mangorei,Hydroelectric,Water,,hydrokinetic turbine,,N,4.5,1.3,,4,,1906,,,,,,Trustpower,,Trustpower,Embedded,21,,,,TRN - Taranaki,NI,CST0331,CST,,,-39.1195,174.127,TRN,
Horseshoe Bend,Hydroelectric,Water,,hydrokinetic turbine,,N,4.3,4.3,,1,,1999,Operational,,,Teviot Hydro Scheme,,Pioneer Generation,,Trustpower,Partially embedded,23,0,Teviot,,OTG - Otago/Southland,SI,CYD0331,CYD,,,-45.5408,169.4934,OTG,
Roaring Meg,Hydroelectric,Water,,hydrokinetic turbine,,N,4.2,1.5,,3,,1936,,,,,,Pioneer Generation,,Trustpower,Embedded,29,,,,OTG - Otago/Southland,SI,CML0331,CML,,,-45.0013,169.0701,OTG,
Rochfort ,Hydroelectric,Water,,hydrokinetic turbine,,N,4.2,4.2,,1,,2013,,,,,,Kawatiri Energy,,Kawatiri Energy,Embedded,20,,,,WEC - West Coast,NI,ORO1101,ORO,,,-41.7545,171.603,CAN,
Argyle,Hydroelectric,Water,,hydrokinetic turbine,,N,3.8,3.8,,1,1 x 3.8 MW,1983,Operational,,,Branch River Power Scheme,1,Trustpower,,Trustpower,Grid,17,0,Branch River,Tasman,NEL - Nelson/Malbourough,SI,ARG1101,ARG,,,-41.6707,173.2032,NEL,
Dillmans,Hydroelectric,Water,,hydrokinetic turbine,,N,3.5,3.5,,1,,1928,Operational,,,Dillmans Hydro Power Scheme,2,Trustpower,,Trustpower,Embedded,16,0,,,WEC - West Coast,SI,KUM0661,KUM,,,-42.6555,171.1949,CAN,
Arnold,Hydroelectric,Water,,hydrokinetic turbine,,N,3.1,3.1,,1,,1932,Operational,,,,,Trustpower,,Trustpower,Embedded,20,0,,,WEC - West Coast,SI,DOB0331,DOB,,,-42.5236,171.4079,CAN,
Wahapo (Okarito Forks),Hydroelectric,Water,,hydrokinetic turbine,,N,3.1,3.1,,1,,1960,,,,,,Trustpower,,Trustpower,Partially embedded,14.5,,,,WEC - West Coast,SI,HKK0661,HKK,,,-43.248,170.2356,CAN,
Hinemaiaia C,Hydroelectric,Water,,hydrokinetic turbine,,N,2.85,2.85,,1,,1982,Operational,,,Hinemaiaia Hydro Scheme,2,Trustpower,,Trustpower,Embedded,13,0,Hinemaiaia river,,WTO - Waikato,NI,WRK0331,WRK,,,-38.8832,176.0778,WTO,
Toronui,Hydroelectric,Water,,hydrokinetic turbine,,N,2.8,2.8,,1,,2013,,,,Esk Hydro Scheme,,Trustpower,,Trustpower,Embedded,10,,,,HBY - Hawkes Bay,NI,RDF0331,RDF,,,-39.1752,176.7727,HBY,
Fraser,Hydroelectric,Water,,hydrokinetic turbine,,N,2.8,2.8,,1,,1956,,,,,,Pioneer Generation,,Trustpower,Embedded,19,,,,OTG - Otago/Southland,SI,CYD0331,CYD,,,-45.2357,169.2006,OTG,
Waihopai,Hydroelectric,Water,,hydrokinetic turbine,,N,2.5,2,,2,,1927,,,,,,Trustpower,,Trustpower,Embedded,11.8,,,,NEL - Nelson/Malbourough,SI,BLN0331,BLN,,,-41.6645,173.5747,NEL,
Hinemaiaia A,Hydroelectric,Water,,hydrokinetic turbine,,N,2.4,2.4,,1,,1939,Operational,,,Hinemaiaia Hydro Scheme,1,Trustpower,,Trustpower,Embedded,10,0,Hinemaiaia river,,WTO - Waikato,NI,WRK0331,WRK,,,-38.8907,176.0923,WTO,
Patearoa,Hydroelectric,Water,,hydrokinetic turbine,,N,2.3,2.3,,1,,1984,Operational,,,Paerau Gorge Power Scheme,2,Trustpower,,Trustpower,Embedded,8,0,Taieri,Otago,OTG - Otago/Southland,SI,NSY0331,NSY,2034,consent expiry,-45.3262,169.9565,OTG,
Talla Burn,Hydroelectric,Water,,hydrokinetic turbine,,N,2.15,2.15,,1,,2010,,,,,,Talla Burn Generation,,Talla Burn Generation,Embedded,10,,,,OTG - Otago/Southland,SI,CYD0331,CYD,,,-45.7561,169.5132,OTG,
Flaxy,Hydroelectric,Water,,hydrokinetic turbine,,N,2,2,,1,,1982,Operational,,,,,Trustpower,,Trustpower,Grid,,0,Flaxy,Bay of Plenty,BOP - Bay of Plenty,NI,ROT0111,ROT,2026,consent expiry,-38.634,176.558,BOP,
Matawai,Hydroelectric,Water,,hydrokinetic turbine,,N,2,1,,2,,2009,,,,,,Clearwater Hydro,,The Lines Company,Embedded,10,,,,HBY - Hawkes Bay,NI,GIS0501,GIS,,,-38.4029,177.6104,HBY,
Kowhai,Hydroelectric,Water,,hydrokinetic turbine,,N,1.9,1.9,,1,,2010,Operational,,,Teviot Hydro Scheme,,Pioneer Generation,,Pioneer Generation,Partially embedded,5.5,0,Teviot,,OTG - Otago/Southland,SI,CYD0331,CYD,,,-45.532,169.3603,OTG,
Mokauiti,Hydroelectric,Water,,hydrokinetic turbine,,N,1.9,1.3,,2,,1963,,,,,,King Country Energy,,King Country Energy,Embedded,7,,,,CEN - Central,NI,ONG0331,ONG,,,-38.5526,174.9622,CEN,
Piriaka,Hydroelectric,Water,,hydrokinetic turbine,,N,1.8,1.2,,2,,1924,,,,,,King Country Energy,,King Country Energy,Embedded,7,,,,CEN - Central,NI,HTI0331,HTI,,,-38.9125,175.3431,CEN,
Montalto,Hydroelectric,Water,,hydrokinetic turbine,,N,1.8,1.8,,1,,1958,Operational,,,Rangitata Diversion Race,2,Trustpower,,Trustpower,Partially embedded,12,0,Rakaia,ECan,CAN - Canterbury,SI,ASB0331,ASB,2040,consent expiry,-43.7983,171.3392,CAN,
Mangapehi,Hydroelectric,Water,,hydrokinetic turbine,,N,1.6,0.8,,2,,2008,,,,,,Clearwater Hydro,,Mercury,Embedded,5,,,,WTO - Waikato,NI,HTI0331,HTI,,,-38.4787,175.2333,WTO,
Rimu,Hydroelectric,Water,,hydrokinetic turbine,,N,1.4,1.4,,1,,2013,,,,Esk Hydro Scheme,,Trustpower,,Trustpower,Embedded,5,,,,HBY - Hawkes Bay,NI,RDF0331,RDF,,,-39.8242,175.4896,HBY,
Hinemaiaia B,Hydroelectric,Water,,hydrokinetic turbine,,N,1.35,1.35,,1,,1966,Operational,,,Hinemaiaia Hydro Scheme,3,Trustpower,,Trustpower,Embedded,6,0,Hinemaiaia river,,WTO - Waikato,NI,WRK0331,WRK,,,-38.8693,176.0528,WTO,
Wye Creek,Hydroelectric,Water,,hydrokinetic turbine,,N,1.35,1.35,,1,,1936,,,,,,Pioneer Generation,,Trustpower,Embedded,1.35,,,,OTG - Otago/Southland,SI,HEN0331,HEN,,,-45.1389,168.7593,OTG,
Falls Dam,Hydroelectric,Water,,hydrokinetic turbine,,N,1.3,1.3,,1,,2003,,,,,,Pioneer Generation,,Trustpower,Embedded,9,,,,OTG - Otago/Southland,SI,NSY0331,NSY,,,-44.8742,169.9019,OTG,
McKays Creek,Hydroelectric,Water,,hydrokinetic turbine,,N,1.1,1.1,,1,,1931,Operational,,,Kaniere River,2,Trustpower,,Trustpower,Embedded,8,0,Kaniere river,,WEC - West Coast,SI,HKK0661,HKK,,,-42.7661,171.0696,CAN,
Onekaka,Hydroelectric,Water,,hydrokinetic turbine,,N,1,1,,1,,,,,,,,Onekaha Energy,,Onekaha Energy,Embedded,3.2,,,,NEL - Nelson/Malbourough,SI,MPI0661,MPI,,,-40.7657,172.708,NEL,
Kourarau,Hydroelectric,Water,,hydrokinetic turbine,,N,0.95,0.7,,2,,1923,,,,,,Genesis,,Genesis,Partially embedded,2,,,,WEL - Wellington,NI,MST0331,MST,,,-41.0925,175.7022,WEL,
Cleardale,Hydroelectric,Water,,hydrokinetic turbine,,N,0.9,0.9,,1,,2010,Operational,,,,,MainPower,,MainPower,Embedded,4,0,,ECan,CAN - Canterbury,SI,ASB0661,ASB,,,-43.4525,171.5843,CAN,
Mataura,Hydroelectric,Water,,hydrokinetic turbine,,N,0.9,0.9,,1,,,,,,,,Niblick Trust,,Simply Energy,Embedded,4.5,,,,OTG - Otago/Southland,SI,GOR0331,GOR,,,-46.1899,168.8727,OTG,
Mangatangi Dam,Hydroelectric,Water,,hydrokinetic turbine,,N,0.6,0.6,,1,,,,,,,,Watercare Services,,Mercury,Partially embedded,5,,,,AKL - Auckland,NI,BOB0331,BOB,,,-37.1882,175.2196,AKL,
Duffers,Hydroelectric,Water,,hydrokinetic turbine,,N,0.5,0.5,,1,,1928,Operational,,,Dillmans Hydro Power Scheme,1,Trustpower,,Trustpower,Embedded,2,0,,,WEC - West Coast,SI,KUM0662,KUM,,,-42.7298,171.206,CAN,
Kaniere Forks,Hydroelectric,Water,,hydrokinetic turbine,,N,0.43,0.43,,1,,1911,Operational,,,Kaniere River,1,Trustpower,,Trustpower,Embedded,4,0,Kaniere river,,WEC - West Coast,SI,HKK0661,HKK,,,-42.7661,171.0696,CAN,
Oxburn/Glenorchy,Hydroelectric,Water,,hydrokinetic turbine,,N,0.4,0.4,,1,,1968,,,,,,Pioneer Generation,,Pioneer Generation,Embedded,2,,,,OTG - Otago/Southland,SI,FKN0331,FKN,,,-44.7679,168.429,OTG,
Kaimai 5,Hydroelectric,Water,,hydrokinetic turbine,,N,0.35,0.35,,1,,1994,Operational,,,Kaimai Hydro Power Scheme,3,Trustpower,,Trustpower,Embedded,2,0,Wairoa river,Bay of Plenty,BOP - Bay of Plenty,NI,TGA0331,TGA,2026,consent expiry,-37.8058,176.0449,BOP,
Opunake,Hydroelectric,Water,,hydrokinetic turbine,,N,0.3,0.3,,1,,,,,,,,Trustpower,,Trustpower,Embedded,1.2,,,,TRN - Taranaki,NI,OPK0331,OPK,,,-39.4586,173.8588,TRN,
Pupu Hydro,Hydroelectric,Water,,hydrokinetic turbine,,N,0.3,0.3,,1,,,,,,,,Pupu Hydro Society,,Contact,Embedded,1.7,,,,NEL - Nelson/Malbourough,SI,MPI0661,MPI,,,-40.8552,172.7375,NEL,
Raetihi,Hydroelectric,Water,,hydrokinetic turbine,,N,0.3,0.3,,1,,,,,,,,Trustpower,,Trustpower,Embedded,1.3,,,,CEN - Central,NI,OKN0111,OKN,,,-39.428,175.2825,CEN,
Brooklyn Power Station,Hydroelectric,Water,,hydrokinetic turbine,,N,0.2,0.2,,1,,1934,Operational,,,,,Lloyd Wensley,,Lloyd Wensley,Embedded,1,0,,Tasman,NEL - Nelson/Malbourough,SI,MOT0111,MOT,,,-41.0972,172.9726,NEL,
Fox,Hydroelectric,Water,,hydrokinetic turbine,,N,0.2,0.2,,1,,,,,,,,Trustpower,,Trustpower,Embedded,1.9,,,,WEC - West Coast,SI,HKK0661,HKK,,,-43.9729,168.9505,CAN,
Mangatawhiri,Hydroelectric,Water,,hydrokinetic turbine,,N,0.2,0.2,,1,,,,,,,,Counties Power,,Mercury,Embedded,0.3,,,,AKL - Auckland,NI,BOB0331,BOB,,,-37.2195,175.115,AKL,
Drysdale,Hydroelectric,Water,,hydrokinetic turbine,,N,0.1,0.1,,1,,,,,,,,Drysdale Hydro Company,,Mercury,Embedded,0.3,0,,,CEN - Central,NI,MTN0331,MTN,,,-39.5467,174.5687,CEN,
Maraetai Embedded,Hydroelectric,Water,,hydrokinetic turbine,,N,0.1,0.1,,1,,,,,,,,Mercury,,Mercury,Embedded,0,,,,WTO - Waikato,NI,WKM2201,WKM,,,-36.8803,175.0341,WTO,
Marokopa Power Station,Hydroelectric,Water,,hydrokinetic turbine,,N,0.1,0.1,,1,,,,,,,,Marakopa Generation,,Contact,Embedded,0.6,,,,WTO - Waikato,NI,HTI0331,HTI,,,-38.2667,174.8461,WTO,
Ngahere,Hydroelectric,Water,,hydrokinetic turbine,,N,0.1,0.1,,1,,,,,,,,Birchfield Minerals,,Mercury,Embedded,0.2,,,,WEC - West Coast,SI,DOB0331,DOB,,,-42.393,171.4526,CAN,
Turitea Hydro,Hydroelectric,Water,,hydrokinetic turbine,,N,0.1,0.1,,1,,,,,,,,Palmerston North City Council,,Mercury,Embedded,0.5,,,,CEN - Central,NI,LTN0331,LTN,,,-40.2859,175.5941,CEN,
Palmerston Nth Mini Hydro,Hydroelectric,Water,,hydrokinetic turbine,,N,0.02,0.02,,1,,,,,,,,Palmerston North City Council,,Mercury,Embedded,0,,,,CEN - Central,NI,BPE0331,BPE,,,-40.3859,175.5816,CEN,
Watercare Cossey's Dam,Hydroelectric,Water,,hydrokinetic turbine,,N,0,0,,1,,,,,,,,Counties Power,,Mercury,Embedded,0,,,,AKL - Auckland,NI,MPE0331,MPE,,,-37.0597,175.1065,AKL,
Watercare Wairoa Dam,Hydroelectric,Water,,hydrokinetic turbine,,N,0,0,,1,,,,,,,,Counties Power,,Mercury,Embedded,0,,,,AKL - Auckland,NI,BOB0331,BOB,,,-37.1033,175.1185,AKL,
Watercare Waitakere,Hydroelectric,Water,,hydrokinetic turbine,,N,0,0.03,,1,,,,,,,,United Networks ,,Trustpower,Embedded,0.1,,,,NIS - North Isthmus,NI,BOB0331,BOB,,,-36.899,174.5296,NIS,
Turitea Wind Farm,Wind,Wind,,,,N,221.4,3.69,,60,60 x 3.69 MW,2020,Operational,,,,,Mercury,,Mercury,,,,,,CEN - Central,NI,LTN2201,LTN,2070,Yr built + 50,-40.4283,175.6225,CEN,
West Wind,Wind,Wind,,,,N,143,2.3,,62,62 x 2.3 MW,2009,,,,,,Meridian Energy,,Meridian Energy,Grid,550,,,,WEL - Wellington,NI ,"WWD1102, WWD1103",,,,-41.2505,174.6907,WEL,
Waipipi Wind Farm,Wind,Wind,,,,N,133.3,4.3,,31,31 x 4.3 MW,2020,Operational,,,,,Mercury,,Mercury,,,,,,TRN - Taranaki,NI,WVY1101,WVY,2070,Yr built + 50,-39.79,174.5444,TRN,
Tararua Stage 3,Wind,Wind,,,,N,93,3,,31,31 x 3 MW,2007,,,,,,Mercury,,Mercury,Grid,375,,,,CEN - Central,NI ,TWC2201,TWC,,,-40.3574,175.7498,CEN,
Te Apiti,Wind,Wind,,,,N,90.75,1.65,,55,55 x 1.65 MW,2004,,,,,,Meridian Energy,,Meridian Energy,Grid,258,,,,CEN - Central,NI ,WDV1101,WDV,,,-40.2911,175.8258,CEN,
Mill Creek,Wind,Wind,,,,N,71.3,2.3,,26,26 x 2.3 MW,2014,,,,,,Meridian Energy,,Meridian Energy,Embedded,235,, ,,WEL - Wellington,NI ,WIL0331,WIL,,,-41.1707,174.7756,WEL,
Te Uku,Wind,Wind,,,,N,64.4,2.3,,28,28 x 2.3 MW,2011,,,,,,WEL Networks,Meridian Energy,Meridian Energy,Embedded,225,,,,WTO - Waikato,NI ,TWH0331,TWH,,,-37.8725,174.9622,WTO,
White Hill,Wind,Wind,,,,N,58,2,,29,29 x 2 MW,2007,,,,,,Meridian Energy,,Meridian Energy,Embedded,200,,,,OTG - Otago/Southland,SI ,NMA0331,NMA,,,-45.7667,168.3,OTG,
Te Rere Hau,Wind,Wind,,,,N,48.5,0.5,,97,97 x 0.5 MW,2011,,,,,,New Zealand Wind Farms,,New Zealand Wind Farms,Partially Embedded,160,,,,CEN - Central,NI ,TWC2201,TWC,,,-40.3874,175.7318,CEN,
Tararua Stage 2,Wind,Wind,,,,,36.3,0.66,,55,55 x 0.66 MW,2004,,,,,,Mercury,,Mercury,Embedded,147,,,,CEN - Central,NI ,BPE0331,BPE,,,-40.3574,175.7498,CEN,
Mahinerangi,Wind,Wind,,,,,36,3,,12,12 x 3 MW,2011,,,,,,Mercury,,Mercury,Embedded,112,,,,OTG - Otago/Southland,SI ,HWB0331,HWB,,,-45.8788,170.5028,OTG,
