Ea_gen_code,Name,Type,Primary_fuel,Secondary_fuel,Prime_mover_1,Prime_mover_2,Cogeneration,Capacity_MW,Capacity_change_MW,Largest_unit_MW,Primary_efficiency,Generating_units_number,Generating_units_notes,Year,Status,Cooling_type,Cooling_source,Group_name,Group_order,Owner_1,Owner_2,Operator,Connection_type,Avg_Ann_Gen_GWh,Hydro_max_storage_m3,Basin,Regional_auth,Region_name,Island_name,Node_name,GIP substation,Lifetime,Lifetime_notes,Comments,Data_source,lat,long
,Greenmount Landfill,Thermal,Biogas,,,,N,5.5,,0.92,0,6,6 x 0.92 MW,1992,Operational,,,,,EnviroWaste,,Mercury,Embedded,38,,,,AKL - Auckland,NI ,OTA0221,OTA,,,"Annual output of 38GWh has been estimated based on 80% utilisation. Meter data series GMT0221 MRPL EG, reconciliation manager series GMT0221 VECT EG. The landfill has closed to new refuse. Gas extraction may continue for 10-20 years after landfill closure.",EA exisiting generating plants (2015),-36.93479131,174.8904346
,Hampton Downs Landfill,Thermal,Biogas,,,,N,4,,1,0,4,4 x 1 MW,2009,Operational,,,,,EnviroWaste,,Mercury,Embedded,28,,,,WTO - Waikato,NI ,MER0331,MER,,,Annual output of 28GWh has been estimated based on 80% utilisation,EA exisiting generating plants (2015),-37.35814171,175.0723384
,Hau Nui (Stage 1),Wind,Wind,,,,,4.2,,0.6,,7,7 x 0.6 MW,1996,Installed,,,,,Genesis Energy,,Genesis Energy,Embedded,,,,,WEL - Wellington,NI ,GYT0331,GYT,,,"Hau Nui wind farm is situated about 20 kilometres from the Martinborough township. Stage 1 commissioned in 1996 with 3.65 MW capacity, stage 2 commissioned in Dec 2004 with 4.8 MW The structures are designed to withstand wind speeds up to 240km/h. The 15 turbines operate in a wind speed range of 10 - 120 km/h above which they shut down. ",EA exisiting generating plants (2015),-41.38428,175.46847
,Hau Nui (Stage 2),Wind,Wind,,,,,8.45,4.8,0.6,,15,15 x 0.6 MW,2004,Operational,,,,,Genesis Energy,,Genesis Energy,Embedded,22,,,,WEL - Wellington,NI ,GYT0331,GYT,,,"Hau Nui wind farm is situated about 20 kilometres from the Martinborough township. Stage 1 commissioned in 1996 with 3.65 MW capacity, stage 2 commissioned in Dec 2004 with 4.8 MW The structures are designed to withstand wind speeds up to 240km/h. The 15 turbines operate in a wind speed range of 10 - 120 km/h above which they shut down. ","EA exisiting generating plants (2015), https://nzhistory.govt.nz/page/new-zealand%e2%80%99s-first-wind-farm-becomes-operational, Genesis Energy company website",-41.38428,175.46847
whareroa,Hawera (Whareroa),Thermal,Natural gas,Distillate,steam turbine,,Y,69.6,,26,9300,4,"4 x 10.9 MW, 1 x 26 MW",1996,Operational,,,,,Todd Energy,Fonterra,Todd Energy,Grid,180,,,,TRN - Taranaki,NI ,HWA1102,HWA,2021,,"The Kiwi Cogeneration Station is located onsite at Fonterra's factory in Hawera, Taranaki and first entered production in 1996 as a gas-driven twin 10 MW turbine. A further two 10 MW turbines were later installed in conjunction with a 26 MW back pressure steam turbine. Gas is fed directly from the Kapuni production station, 22 kilometers, away via a dedicated pipeline. Note : Generation is metered at HWA1102 KIWI GG. For reconciliation generation is split equally between two buses HWA1102 TODD GG and HWA1102 MERI GG",EA exisiting generating plants (2015); MBIE thermal stack update (2020),-39.60609,174.30105
highbank,Highbank,Hydroelectric,Water,,hydrokinetic turbine,,N,25,,25,,1,1 x 25 MW,1945,Operational,,,Rangitata Diversion Race,1,Trustpower,,Trustpower,Partially embedded,94,0,Rakaia,ECan,CAN - Canterbury,SI,ASB0661,ASB,2040,consent expiry,"The Highbank Power Station was constructed between 1939 and 1945 as part of a combined project to irrigate dry farmland and generate electricity.  Water for the station is collected from the Rangitata River by means of a 66km long irrigation race, which provides water for use by farms in summer, when demand for electricity is lower. In winter when electricity demand increases, and demand for irrigation water reduces, the water is used for power generation purposes. With an installed capacity of 25.2 MW, the Highbank scheme has an average annual output of 94 GWh. 

Highbank was previously grid connected (POC name : HBK0661 TRUS GG) but is now treated as embedded generation (POC name : HBK0661 TRUS EG behind ASB0661) for market purposes",MBIE hydro large scale stack update (2020); EA exisiting generating plants (2015),-43.57295752,171.7354058
,Hinemaiaia A,Hydroelectric,Water,,hydrokinetic turbine,,N,2.4,,2.4,,1,1 x 2.4 MW,1939,Operational,,,Hinemaiaia Hydro Scheme,1,Trustpower,,Trustpower,Embedded,10,0,Hinemaiaia river,,WTO - Waikato,NI,WRK0331,WRK,,,"The Hinemaiaia scheme had it's beginnings in 1939 in the quest to develop an electric power supply for Taupo, with power eventually being generated in late 1952, and fed into the national grid in 1958. Fed by the Hinemaiaia River, the scheme today consists of 2,400kW HA, 1,350kW HB and 2,850kW HC stations giving a total annual output of 29.3GWh. The 33 hectare lake of the HA Station has an average depth of only 1.2m and contains 16.6 hours of storage at mean river flow. The river carries considerable pumice debris and the original lake was fully silted in it's first 25 years of existence. 
Levees have been built to form future silt ponds for the time when dredging of the lake area above the weir will become necessary to maintain storage. The HA lake is a wildlife sanctuary and has become the habitat of a wide variety of wild fowl. The lake in the past has been stocked with salvelinus fontinalis brook trout by the Wildlife Conservancy. The HA dam is comprised of an arch dam 12m deep in a narrow ignimbright gorge with an adjacent 90m long weir perched on the surface of the ignimbright rock with the intake structure situated on the left bank at the end of the weir. 
A remote controlled and hydraulically operated bypass gate has been placed in the dam which is capable of passing 5 cumecs when required. 
The intake chamber contains hydraulically operated bypass gates, intake screens and screen scraper mechanism. The screen scrapers cope with pumice debris and lake weed and the scraper operation is initiated by both pressure differential across the screen and time switch control. 
Two 243 metre long penstocks, one 1.67m in diameter and one 1.8m in diameter, lead from the intake chamber to the power station. The power station contains two horizontal shaft machines with Francis turbines",EA exisiting generating plants (2015),-38.89069612,176.0923443
,Hinemaiaia B,Hydroelectric,Water,,hydrokinetic turbine,,N,1.35,,1.35,,1,1 x 1.35 MW,1966,Operational,,,Hinemaiaia Hydro Scheme,3,Trustpower,,Trustpower,Embedded,6,0,Hinemaiaia river,,WTO - Waikato,NI,WRK0331,WRK,,,"Situated some 3km below the HC Station, the HB Station Dam is a 12 metre high arch dam in a narrow ignimbright gorge with a 75m long spillway weir adjacent. The 12.1 hectare lake provides independent storage from the HB station giving 7 hours storage at mean flow.  From the intake structure with its gate and intake screen 360 metres of concrete conduit, 2.3 metres in diameter, and 168 metres of steel penstock conducts the water to the HB Power Station which houses a horizontal Francis turbine driving a 1350kW induction generator.",EA exisiting generating plants (2015),-38.86929042,176.0528251
,Hinemaiaia C,Hydroelectric,Water,,hydrokinetic turbine,,N,2.85,,2.85,,1,1 x 2.85 MW,1982,Operational,,,Hinemaiaia Hydro Scheme,2,Trustpower,,Trustpower,Embedded,13,0,Hinemaiaia river,,WTO - Waikato,NI,WRK0331,WRK,,,"The Hinemaiaia C dam has been built 2km down river from the HA Power Station in a very narrow ignimbright gorge some 27 metres deep. The lower section of the dam extends horizontally between the gorge walls while the the upper section has been designed as a buttressed wall. 
An ogee spillway has been incorporated into the dam structure to discharge flood waters and the weight counterbalanced radial gate controlling the impound waters self adjusts to spill flood waters. The 2 hectares of water confined in the lake provide negligible storage and the HC Station is operated in tandem with HA Station.",EA exisiting generating plants (2015),-38.88317525,176.0778091
,Hokitika Diesel,Thermal,Diesel,,,,N,3.3,,3.3,0,1,1 x 3.3 MW (inferred as largest unit = cap.),,,,,,,Trustpower,,Trustpower,Embedded,0.3,,,,WEC - West Coast,SI ,KUM0661,KUM,,,GWh and MW data estimated from Centralised Dataset. Reconciliation Manager generation end date 31/08/2007 ,EA exisiting generating plants (2015),-42.71736,170.96654
,"Hornby, Christchurch",Thermal,Unknown,,,,N,0.7,,0.7,0,1,1 x 0.7 MW (inferred as largest unit = cap.),,,,,,,Ravensdown Fertiliser Co-op,,Meridian Energy,Embedded,1,,,,CAN - Canterbury,SI ,ISL0331,ISL,,,GWh and MW data from Centralised Dataset 2006 calendar year. Location estimated,EA exisiting generating plants (2015),-43.54304874,172.525856
,Horotiu Landfill,Thermal,Biogas,,,,N,0.9,,0.9,0,1,1 x 0.9 MW (inferred as largest unit = cap.),2004,Operational,,,,,Green Energy,,WEL Networks,Embedded,7,,,,WTO - Waikato,NI ,TWH0331,TWH,,,"It was expected that the landfill would be shut in 2006, but would to continue to produce gas for another 20 years",EA exisiting generating plants (2015),-36.8841,174.7704
teviot,Horseshoe Bend,Hydroelectric,Water,,hydrokinetic turbine,,N,4.3,,4.3,,1,1 x 4.3 MW,1999,Operational,,,Teviot Hydro Scheme,,Pioneer Generation,,Trustpower,Partially embedded,23,0,Teviot,,OTG - Otago/Southland,SI,CYD0331,CYD,,,Horseshoe Bend 23 annual GWh from Pioneer Generation fact sheet,EA exisiting generating plants (2015),-45.54077998,169.4933561
,Horseshoe Bend Wind,Wind,Wind,,,,,2.25,,0.75,,3,3 x 0.75 MW,2009,Operational,,,,,Pioneer Generation,,Pioneer Generation,Embedded,8,, ,,OTG - Otago/Southland,SI ,CYD0331,CYD,,,Situated adjacent to the Horseshoe Bend Hydro station the wind project consists of three 750kW NEG Micon wind turbines giving a maximum output of 2.25MW.  The turbines have 45m high steel tubular towers and 44m diameter rotors giving an overall height of 69m.,EA exisiting generating plants (2015),-45.54274,169.29868
huntly_1_4,Huntly Unit 1-2-4,Thermal,Natural gas,Coal,steam turbine,,N,750,,250,10300,3,3 x 250 MW,2013,Decomissioned,,,,,Genesis,,Genesis,Grid,2850,,,,WTO - Waikato,NI ,HLY2202,HLY,2063,,"Each unit is capable of burning coal, natural gas or a combination of the two. Annual output of 5695GWh has been estimated based on actual output 2005-2006 calendar years less estimated Huntly p40 (total output for whole Huntly 2005+6 = 6030 GWh per annum average).Unit 4 was mothballed in December 2012. A second unit was mothballed late 2013, at which point Unit 4 was decommissioned.",MBIE thermal stack update (2020); EA exisiting generating plants (2015),,
huntly_1_4,Huntly Unit 1-2-4,Thermal,Natural gas,Coal,steam turbine,,N,1000,,250,10300,4,4 x 250 MW,1983,Installed,,,,,Genesis,,Genesis,Grid,2850,,,,WTO - Waikato,NI ,HLY2202,HLY,2033,,"Each unit is capable of burning coal, natural gas or a combination of the two. Annual output of 5695GWh has been estimated based on actual output 2005-2006 calendar years less estimated Huntly p40 (total output for whole Huntly 2005+6 = 6030 GWh per annum average).Unit 4 was mothballed in December 2012. A second unit was mothballed late 2013, at which point Unit 4 was decommissioned.",MBIE thermal stack update (2020); EA exisiting generating plants (2015),,
huntly_e3p,Huntly Unit 5,Thermal,Natural gas,,combined cycle gas turbine (CCGT),,N,385,,250,7200,2,"1 x 135 MW, 1 x 250 MW",2007,Operational,,,,,Genesis,,Genesis,Grid,2410,,,,WTO - Waikato,NI ,HLY2201,HLY,2057,,Annual output of 335GWh has been estimated based on 80% utilisation,"MBIE thermal stack update (2020); EA exisiting generating plants (2015), https://www.power-technology.com/marketdata/power-plant-profile-huntly-power-station-unit-5-new-zealand/ for units size (last updated 2023)",-37.55773,175.15927
huntly_p40,Huntly Unit 6,Thermal,Natural gas,Diesel,open cycle gas turbine (OCGT),,N,48,,50.8,9800,1,1 x 50.8 MW (greater than cap.),2004,Operational,,,,,Genesis,,Genesis,Grid,335,,,,WTO - Waikato,NI ,HLY2202,HLY,2046,,"Unit 6 is a 50.8MW open cycle gas turbine, which was commissioned in 2004. This unit can burn 100% gas or diesel to generate electricity. Unit 6 is operated as a Peaking unit when wholesale electricity prices reach high levels or when it is economic to operate it over short periods","MBIE thermal stack update (2020); EA exisiting generating plants (2015), Genesis Energy Huntly webpage (accessed 26/06/23)",-37.55773,175.15928
,Iwitahi,Thermal,Unknown,,,,N,0.3,,0.3,0,1,1 x 0.3 MW (inferred as largest unit = cap.),,,,,,,Radio New Zealand,,Trustpower,Embedded,0,,,,WTO - Waikato,NI ,WRK0331,WRK,,,GWh and MW data from Centralised Dataset 2006 calendar year. Location estimated (Iwitahi town),EA exisiting generating plants (2015),-38.80389746,176.2505743
,Jackson Estate,Thermal,Diesel,,,,BU,0.2,,0.2,0,1,1 x 0.2 MW (inferred as largest unit = cap.),,,,,,,Jackson Estate,,Trustpower,Embedded,0,,,,NEL - Nelson/Marlbourough,SI ,BLN0331,BLN,,,GWh and MW data from Centralised Dataset,EA exisiting generating plants (2015),-41.50632456,173.8773688
junctionroad,Junction Road,Thermal,Natural gas,,open cycle gas turbine (OCGT),,N,100,,50,0,2,2 x 50 MW,2020,Operational,,,,,Todd Generation Taranaki,,Todd Generation Taranaki,,,,,,TRN - Taranaki,,JRD1101,JRD,2057,,,MBIE thermal stack update (2020),-39.12651388,174.116451
,Kaimai 5,Hydroelectric,Water,,hydrokinetic turbine,,N,0.35,,0.35,,1,1 x 0.35 MW,1994,Operational,,,Kaimai Hydro Power Scheme,3,Trustpower,,Trustpower,Embedded,2,0,Wairoa river,Bay of Plenty,BOP - Bay of Plenty,NI,TGA0331,TGA,2026,consent expiry,,MBIE hydro large scale stack update (2020); EA exisiting generating plants (2015),-37.8058249,176.044899
waikaremoana,Kaitawa,Hydroelectric,Water,,hydrokinetic turbine,,N,36,,18,1.006,2,2 x 22 x 18 MW,1948,Operational,,,Waikaremoana Hydro Scheme,1,Genesis,,Genesis,Grid,91,0,Waikaremoana,Hawkes Bay,HBY - Hawkes Bay,NI,TUI1101,TUI,2032,consent expiry,"The Waikaremoana Hydro Scheme is located between the remote Te Urewera National Park and Wairoa. The scheme includes the Kaitawa (36MW), Tuai (60MW), and Piripaua (42MW) hydro stations, and is centrally controlled from Tuai. Water from Lake Waikaremoana flows through the Kaitawa power station and into Lake Kaitawa before reaching the Tuai power station. From there it flows into the man-made Lake Whakamarino and through the Piripaua power station, before being released into the Waikaretaheke River and making its way to the sea.",MBIE hydro large scale stack update (2020); EA exisiting generating plants (2015),-38.8032,177.1311
,Kaniere Forks,Hydroelectric,Water,,hydrokinetic turbine,,N,0.43,,0.43,,1,1 x 4.3 MW,1911,Operational,,,Kaniere River,1,Trustpower,,Trustpower,Embedded,4,0,Kaniere river,,WEC - West Coast,SI,HKK0661,HKK,,,,EA exisiting generating plants (2015),-42.76613763,171.0696012
kapuni,Kapuni,Thermal,Natural gas,,open cycle gas turbine (OCGT),,Y,25,,10.5,,4,"2 x 10.5 MW, 1 x 1.5 MW, 1 x 2 MW",1998,Operational (temporarily shutdown in Jan 2023 -NZ Herald),,,,,Nova Energy,,Todd Energy,Grid,130,,,,TRN - Taranaki,NI ,KPA1101,KPA,2040,,"The plant provides heat and power for local industry. Some 490,000 tonnes of steam a year is also produced for use in the NGC Kapuni Gas Treatment Plant. This steam allows NGC's Benfield plants to strip carbon dioxide from Kapuni gas to maintain pipeline specifications. Steam excess to NGC's needs is transported via a dedicated 3 km long steam line to Lactose New Zealand's dairy processing plant. Units : Gas: 2 at 10.3 MW, steam: 1 at 3.2MW, 1 at 1.5 MW. The plant has a rated output of 25 MW. Of this 20 MW is exported to the national grid.The plant is owned by Bay of Plenty Energy and NGC as a joint venture",MBIE thermal stack update (2020); EA exisiting generating plants (2015),-39.48367,174.134
karapiro,Karapiro,Hydroelectric,Water,,hydrokinetic turbine,,N,96,,32,0.265,3,3 x 32 MW,1947,Operational,,,Waikato Hydro Scheme,8,Mercury,,Mercury,Grid,525,14,Waikato,Waikato,WTO - Waikato,NI,KPO1101,KPO,2041,consent expiry,"As the last station on the Waikato River, Karapiro is required to release a minimum flow to maintain the water levels in the lower Waikato River. The required minimum flow means that at least two of the three generating units at Karapiro are typically operating at all times. Transmission lines connect the station with the national grid at Hamilton, as well as supplying sub-stations at Hinuera and Te Awamutu.",MBIE hydro large scale stack update (2020); EA exisiting generating plants (2015),-37.92363219,175.5393681
,Kawerau - CHH,Thermal,Wood waste,,,,Y,27,,27,0,1,1 x 27 MW  (inferred as largest unit = cap.),,,,,,,Carter Holt Harvey,,Carter Holt Harvey,Embedded,118,,,,BOP - Bay Of Plenty,NI ,KAW0111,KAW,,,"Steam turbine from wood waste, turbine has capacity of 27MW however due to a lack of steam has been generating only 13.5MW. Location estimated (Carter Holt Harvey)",EA exisiting generating plants (2015),-38.06945427,176.7205635
,Kawerau - TPP,Thermal,Natural gas,,,,Y,37,,18.7,0,3,"1 x 10 MW, 1 x 8 MW, 1 x 18.7 MW (= to 36.7)",1966,,,,,,Norske Skog Tasman,,Norske Skog Tasman,Grid,271,,,,BOP - Bay Of Plenty,NI ,KAW0112,KAW,,,Location estimated (Tasman Mill),EA exisiting generating plants (2015),-38.07388635,176.7199385
kawerau_geo,Kawerau (KGL),Geothermal,Geothermal double flash,,condensed steam turbine (CST),,N,100,,,,1,1 x 100 MW ,2008,Installed,Mechanical draft cooling tower,,,,Mercury,,Mercury,Grid,800,,Kawerau,,BOP - Bay of Plenty,NI,KAW1101,KAW,2058,yr built+50,,NZ Geothermal Association (2019),-38.06221018,176.7269106
kawerau_geo,Kawerau (KGL),Geothermal,Geothermal double flash,,condensed steam turbine (CST),,N,107,,107,,1,1 x 107 MW (inferred from largest unit),2017,Operational,Mechanical draft cooling tower,,,,Mercury,,Mercury,Grid,800,,Kawerau,,BOP - Bay of Plenty,NI,KAW1101,KAW,2067,yr built+50,,NZ Geothermal Association (2019),-38.06221018,176.7269106
kawerau_geo,Kawerau (KGL),Geothermal,Geothermal double flash,,condensed steam turbine (CST),,N,107,7,,,1,1 x 107 MW (inferred from largest unit),2017,Rerating,Mechanical draft cooling tower,,,,Mercury,,Mercury,Grid,,,Kawerau,,BOP - Bay of Plenty,NI,KAW1101,KAW,,,,NZ Geothermal Association (2019),-38.06221018,176.7269106
kawerau_geo,Kawerau Binary (TG1 + TG2),Geothermal Binary,Geoothermal binary,,binary,,N,6,4,4,,2,"1 x 2.4 MW, 1 x 3.5 MW",1993,Installed,Air,,,,Nova Energy ,Ngati Tuwharetoa Geothermal Assets Limited,,,,,Kawerau,,BOP - Bay of Plenty,NI,KAW0111,KAW,,,"TG1, the first of two developments, was commissioned in 1989 and generates 2.56 MW of electricity. It has two turbines, each  driving a 1.3 MW generator. TG2, was commissioned in 1993 using two turbines to drive a single 3.8 MW generator.","NZ Geothermal Association (2019), https://www.geothermal-energy.org/pdf/IGAstandard/WGC/2015/28026.pdf (2015)",-38.062138,176.718009
kawerau_geo,Kawerau Binary (TG1),Geothermal Binary,Geoothermal binary,,binary,,N,2,2,2,,1,1 x 2.4 MW ,1989,Installed,Air,,,,Nova Energy ,Ngati Tuwharetoa Geothermal Assets Limited,,,,,Kawerau,,BOP - Bay of Plenty,NI,KAW0111,KAW,2039,yr built+50,,"NZ Geothermal Association (2019), https://www.geothermal-energy.org/pdf/IGAstandard/WGC/2015/28026.pdf (2015)",-38.062138,176.718009
kawerau_geo,Kawerau Binary (TG2),Geothermal Binary,Geoothermal binary,,binary,,N,4,,3.5,,1,1 x 3.5 MW ,1993,Operational,Air,,,,Nova Energy ,Ngati Tuwharetoa Geothermal Assets Limited,,,35,,Kawerau,,BOP - Bay of Plenty,NI,KAW0111,KAW,2043,yr built+50,"TG1, the first of two developments, was commissioned in 1989 and generates 2.56 MW of electricity. It has two turbines, each  driving a 1.3 MW generator. TG2, was commissioned in 1993 using two turbines to drive a single 3.8 MW generator.","NZ Geothermal Association (2019), https://www.geothermal-energy.org/pdf/IGAstandard/WGC/2015/28026.pdf (2015)",-38.062138,176.718009
kawerau_geo,Kawerau Binary (TG2),Geothermal Binary,Geoothermal binary,,binary,,N,4,-2,4,,1,1 x 3.5 MW, ,Retired,Air,,,,Nova Energy ,Ngati Tuwharetoa Geothermal Assets Limited,,,,,Kawerau,,BOP - Bay of Plenty,NI,KAW0111,KAW,,,,"NZ Geothermal Association (2019), https://www.geothermal-energy.org/pdf/IGAstandard/WGC/2015/28026.pdf (2015)",-38.062138,176.718009
kawerau_geo,Kawerau BP,Geothermal,Geothermal single flash,,back pressure turbine (BPT),,N,8,,8,,1,1 x 8 MW,1966,Installed,Steam repurposed,,,,Norske Skog Tasman,,Todd Energy,Partially embedded,,,Kawerau,,BOP - Bay of Plenty,NI,KAW0111,KAW,2016,yr built+50,,NZ Geothermal Association (2019),-38.07383567,176.7199278
kawerau_geo,Kawerau BP,Geothermal,Geothermal single flash,,back pressure turbine (BPT),,N,8,,8,,1,1 x 8 MW,2004,Operational,Steam repurposed,,,,Norske Skog Tasman,,Todd Energy,Partially embedded,,,Kawerau,,BOP - Bay of Plenty,NI,KAW0111,KAW,2054,yr built+50,,NZ Geothermal Association (2019),-38.07383567,176.7199278
kawerau_geo,Kawerau BP,Geothermal,Geothermal single flash,,back pressure turbine (BPT),,N,8,0,8,,1,1 x 8 MW,2004,Replaced,Steam repurposed,,,,Norske Skog Tasman,,Todd Energy,Partially embedded,,,Kawerau,,BOP - Bay of Plenty,NI,KAW0111,KAW,,,,NZ Geothermal Association (2019),-38.07383567,176.7199278
kawerau_geo,Kawerau-GDL (KA24),Geothermal,Geothermal binary,,binary,,N,8,,8,,1,1 x 8 MW (inferred from largest unit),2008,Operational,Air,,,,Eastland Group,,Eastland Group,Embedded,70,,Kawerau,,BOP - Bay of Plenty,NI,KAW0111,KAW,2058,yr built+50,Commissioned in November 2008,NZ Geothermal Association (2019),-38.060644,176.722317
,Kew Hospital,Thermal,Unknown,,,,N,0,,0,0,,,,,,,,,Kew Hospital,,Trustpower,Embedded,0,,,,OTG - Otago/Southland,SI ,INV0331,INV,,,GWh and MW data from Centralised Dataset 2006 calendar year,EA exisiting generating plants (2015),-46.4371314,168.3574381
kinleith,Kinleith,Thermal,Wood,Natural gas,steam turbine,,Y,40,,40,0,1,1 x 40 MW,1998,Operational,,,,,Oji Fibre Solutions,,Carter Holt Energy,Grid,250,,,,WTO - Waikato,NI ,KIN0112,KIN,2048,,"Maintained by Carter Holt Energy. This plant is located at the Carter Holt Harvey Pulp and Paper Plant at Kinleith, Tokoroa. It is fuelled by wood waste biomass supplemented as necessary with gas. The waste wood is a combination of bark, sawdust and chips, mainly pine with some eucalyptus. New Zealand biomass fuel is considered a renewable energy because it can be replenished by new plantations. The fuel is burnt in a boiler to produce steam for a 28MW steam turbine and for the pulp and paper mill (contradicting info: Allen 39.6 Mwe Type H-6, pass-out back pressure steam turbine (STG) driving a Peebles generator through an Allen Gears parallel shaft speed reduction gearbox. Gear speed – 4393/1500 rpm, from MBIE thermal generation stack update 2020). The bulk of the electricity generated is used on site. Carter Holt Harvey and Genesis Energy work closely to ensure a reliable steam supply for this major wood-processing site. The plant is owned by Genesis Energy, and Carter Holt Harvey operate and maintain the plant under contract to Genesis Energy. Engineering support for the plant is provided by the Genesis Energy engineering team based at Huntly Power Station. Total capacity is 28MW about 11% is from natural gas (about 3 MW) the rest is generated from Wood (about 25MW).",MBIE thermal stack update (2020); EA exisiting generating plants (2015),-38.226,175.8663
,Kongahu,Thermal,Unknown,,,,N,0,,0,0,,,,,,,,,Buller Electricity,,Simply Energy,Embedded,0,,,,WEC - West Coast,SI ,ORO1101,ORO,,,Location estimated (Kongahu town),EA exisiting generating plants (2015),-41.29233477,172.093299
,Kourarau,Hydroelectric,Water,,hydrokinetic turbine,,N,0.95,,0.7,,2,,1923,Operational,,,,,Genesis,,Genesis,Partially embedded,2,,,,WEL - Wellington,NI,MST0331,MST,,,"The Kourarau Power Scheme has an installed generating capacity of 1100 KW, however, generation rarely exceeds 900 KW. The scheme was designed to meet the generating needs of some 235 consumers. The Kourarau Power Scheme does not feed directly into the national grid. The electricity is distributed throughout the Wairarapa area. Each station is fed by a small artificial reservoir formed by the damming of Kourarau Stream. Between each reservoir and the associated power station are sections of pipeline and penstocks that take water from the reservoir to a power station. Water from the Lower Power Station is discharged back into the natural channel of the Kourarau Stream. The Upper Dam and Reservoir were formed in 1925 by the damming of Kourarau Stream with an earth dam. The reservoir covers approximately 15 hectares. Water from the upper reservoir is taken through the Upper Power Station at a maximum rate of 290 litres per second. The upper reservoir has a normal operating range of 650 mm between minimum level and the spillway crest. During floods water that cannot be taken into the power station flows over the spillway and into the natural channel of Kourarau Stream. The Upper Power Station is a 200 KW (actual generator rating 250KW) station that uses a maximum flow of 290 litres per second to generate electricity. Water enters the Upper Power Station from the Upper Reservoir via a 785 metre long pipeline and single penstock system. A surge chamber is situated between the penstock and the pipeline to relieve pressure from the system that builds up due to fluctuating flows and generation patterns. The Lower Reservoir is 1.4 hectares in area and located downstream of the confluence of the Kourarau Stream and Sailormans Creek. The reservoir is formed by an earth dam, approximately 4 metres in height. Water enters the lake from the Upper Power Station tailrace and from the Kourarau Stream, including the flow from Sailormans Creek. The upper level of the lake is controlled by a fixed weir concrete-lined spillway. During floods, any water that cannot pass through the Lower Power Station, via the intake, flows over the spillway down the natural channel of Kourarau Stream. From the Lower Reservoir, water passes through a single 1182-metre pipeline to a surge tower. The pipeline then splits into two penstocks that carry water a further 2136 metres to the Lower Power Station. Water enters the two penstocks at a maximum rate of 900 litres per second. The Lower Power Station is a 900 KW station (actual generator rating 700 KW) situated adjacent to Kourarau Stream. Water then passes through a short tail-race before being discharged back into Kourarau Stream.",EA exisiting generating plants (2015),-41.09245213,175.7022162
teviot,Kowhai,Hydroelectric,Water,,hydrokinetic turbine,,N,1.9,,1.9,,1,1 x 1.9 MW,2010,Operational,,,Teviot Hydro Scheme,,Pioneer Generation,,Pioneer Generation,Partially embedded,5.5,0,Teviot,,OTG - Otago/Southland,SI,CYD0331,CYD,,,The station has a maximum generating capacity of 1.9MW and will produces an estimated 5.5GWh of energy each year. The site of the power station is approximately 3.5km east of Roxburgh adjacent to the Teviot Irrigation Company (TIC) Intake Weir on the Teviot River.  The pipeline and penstock associated with the power station runs from the Marslin Dam some 1.5 km upstream.,EA exisiting generating plants (2015),-45.53200881,169.3602789
kumara,Kumara,Hydroelectric,Water,,hydrokinetic turbine,,N,6.5,,6.5,,1,1 x 6.5 MW,1928,Operational,,,Dillmans Hydro Power Scheme,3,Trustpower,,Trustpower,Embedded,30,0,,,WEC - West Coast,SI,KUM0661,KUM,,,"This scheme had its beginnings in 1927, with power being generated for the first time in 1928. The scheme today consists of the Duffers Power Station, fed by races that in turn feed into the Kawhaka Creek, downstream artificial lake storage that in turn feeds the Dillmans Power Station, and the Kumara Power station fed by a race from Dillmans. With heads of 13 metres at Duffers, 46 metres at Dillmans and 78 metres at Kumara, and capacities of 500 kW, 3,500 kW and 6,500 kW respectively, the scheme has an average annual output of 47.9 GWh.",EA exisiting generating plants (2015),-42.63549117,171.1951206
,Kuratau,Hydroelectric,Water,,hydrokinetic turbine,,N,6,,3,,2,2 x 3 MW,1962,Operational,,,,,King Country Energy,,King Country Energy,Embedded,30,,,,CEN - Central,NI,ONG0331,ONG,,,"Water is channeled down an open canal to a top screen with an earthquake gate from lake Kuratau. The two penstock pipes are both constructed from concrete until the surge chamber, from there on they are steel, each one feeds it's own turbine. Station Statistics: Location: Hydro Rd, Kuratau. Head:64 metres. Turbines: Boving Horizontal Francis (x 2), Generator:2 x ASEA , 3 MW at 600 rpm. Station Mean Output: 30 GWh",EA exisiting generating plants (2015),-38.87922427,175.7355856
,Lake Grassmere,Wind,Wind,,,,,0.66,,0.66,,1,1 x 0.66 MW,2014,Operational,,,,,Energy3,,Meridian Energy,Embedded,6,,,,NEL - Nelson/Marlbourough,SI ,BLN0331,BLN,,,Annual output estimated based on 40% utilisation,EA exisiting generating plants (2015),-41.72838,174.15095
