,,,,fixed,lower,upper
WTO,2035,Transport,LF_efuel,,300.5,300.5
WTO,2035,Transport,LF_fossil,,1502,1502
WTO,2040,Heat,Coal_fossil,,63.77,63.77
WTO,2040,Heat,Gas_efuel,,864.8,864.8
WTO,2040,Heat,Gas_fossil,,960.8,960.8
WTO,2040,Heat,LF_efuel,,7.56,7.56
WTO,2040,Heat,LF_fossil,,11.44,11.44
WTO,2040,Transport,LF_efuel,,377.3,377.3
WTO,2040,Transport,LF_fossil,,571.4,571.4
WTO,2045,Heat,Coal_fossil,,30.71,30.71
WTO,2045,Heat,Gas_efuel,,1287,1287
WTO,2045,Heat,Gas_fossil,,343.3,343.3
WTO,2045,Heat,LF_efuel,,6.61,6.61
WTO,2045,Heat,LF_fossil,,2.34,2.34
WTO,2045,Transport,LF_efuel,,379.2,379.2
WTO,2045,Transport,LF_fossil,,134.2,134.2
WTO,2050,Heat,Gas_efuel,,1501,1501
WTO,2050,Transport,LF_efuel,,312,312
